"","gutenberg_id","text","title","author","gutenberg_bookshelf","language"
"58",4994,"                       III WASHINGTON DECIDES","Five Thousand Miles Underground; Or, the Mystery of the Centre of the Earth","Rockwood, Roy","Science Fiction","en"
"59",4994,"                        IV WHAT DID MARK SEE?","Five Thousand Miles Underground; Or, the Mystery of the Centre of the Earth","Rockwood, Roy","Science Fiction","en"
"60",4994,"                         V ATTACKED BY A WHALE","Five Thousand Miles Underground; Or, the Mystery of the Centre of the Earth","Rockwood, Roy","Science Fiction","en"
"61",4994,"                        VI THE CYCLONE","Five Thousand Miles Underground; Or, the Mystery of the Centre of the Earth","Rockwood, Roy","Science Fiction","en"
"62",4994,"                       VII A QUEER SAIL","Five Thousand Miles Underground; Or, the Mystery of the Centre of the Earth","Rockwood, Roy","Science Fiction","en"
"63",4994,"                      VIII THE FLYING MERMAID DISABLED","Five Thousand Miles Underground; Or, the Mystery of the Centre of the Earth","Rockwood, Roy","Science Fiction","en"
"64",4994,"                        IX THE MUTINY","Five Thousand Miles Underground; Or, the Mystery of the Centre of the Earth","Rockwood, Roy","Science Fiction","en"
"65",4994,"                         X FOOLING THEIR ENEMIES","Five Thousand Miles Underground; Or, the Mystery of the Centre of the Earth","Rockwood, Roy","Science Fiction","en"
"66",4994,"                        XI MYSTERIOUS HAPPENINGS","Five Thousand Miles Underground; Or, the Mystery of the Centre of the Earth","Rockwood, Roy","Science Fiction","en"
"67",4994,"                       XII THE BIG HOLE","Five Thousand Miles Underground; Or, the Mystery of the Centre of the Earth","Rockwood, Roy","Science Fiction","en"
"68",4994,"                      XIII DOWN INTO THE EARTH","Five Thousand Miles Underground; Or, the Mystery of the Centre of the Earth","Rockwood, Roy","Science Fiction","en"
"69",4994,"                       XIV MANY MILES BELOW","Five Thousand Miles Underground; Or, the Mystery of the Centre of the Earth","Rockwood, Roy","Science Fiction","en"
"70",4994,"                        XV IN THE STRANGE DRAUGHT","Five Thousand Miles Underground; Or, the Mystery of the Centre of the Earth","Rockwood, Roy","Science Fiction","en"
"71",4994,"                       XVI THE NEW LAND","Five Thousand Miles Underground; Or, the Mystery of the Centre of the Earth","Rockwood, Roy","Science Fiction","en"
