"","id","title","author","genre","sentence","x","y","DET","NOUN","VERB","ADJ","PROPN","ADP","AUX","CONJ","INTJ","NUM","PRON","SCONJ"
"50","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",50,0.140676434857455,0.12792325541077,1,3,0,1,0,0,1,0,0,1,1,0
"51","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",51,-0.183147549458165,0.626973746051727,0,0,1,0,0,0,2,0,0,0,4,1
"52","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",52,0.235821330912889,0.0828973487885449,4,4,1,1,0,2,2,0,0,0,2,1
"53","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",53,0.140423398883306,0.127363573807349,3,4,2,0,0,3,1,0,0,0,1,1
"54","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",54,0.0867286805745678,-0.0111506068665153,4,5,5,1,1,3,2,0,0,0,3,1
"55","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",55,-0.529638673925343,-0.088511889987146,0,1,1,0,0,0,0,0,1,0,0,0
"56","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",56,0.140423398883306,0.127363573807349,3,1,2,0,0,1,2,0,0,0,2,1
"57","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",57,-0.0137818494064684,-0.0276700468652295,1,1,3,0,1,1,2,0,0,0,1,0
"58","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",58,-0.0541224069258383,-0.14678792571696,1,0,1,0,0,0,0,0,0,0,2,0
"59","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",59,0.139305313218786,0.436977096620973,0,1,0,1,0,0,1,0,0,0,1,0
"60","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",60,-0.399056846356957,0.0625531028954357,0,1,3,0,0,0,0,0,0,0,1,0
"61","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",61,0.250747749943031,0.153630466724893,1,0,1,0,0,1,2,0,0,0,1,0
"62","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",62,0.0598996254484763,0.0921884572554295,3,3,5,0,0,2,5,0,0,1,3,1
"63","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",63,0.210325207664954,-0.208594557826693,1,0,0,1,0,0,0,0,0,1,2,0
"64","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",64,-0.0191410044920721,-0.337676345260181,1,1,1,0,0,0,0,0,0,0,0,0
"65","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",65,0.235821330912889,0.0828973487885449,3,4,3,2,0,2,2,0,0,0,3,1
"66","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",66,0.100891738659336,-0.0527570692999616,2,2,4,2,1,3,1,0,0,0,2,0
"67","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",67,0.403066572044613,-0.36662106493875,3,5,2,2,0,1,0,0,0,0,0,0
"68","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",68,0.273306633058097,0.0487825282439005,6,6,4,2,0,3,1,0,0,0,1,0
